Symbol,Company Name,Industry,Market Cap
BEST,BEST Inc.,Trucking,56607720
BF.A,Brown-Forman,Beverages - Wineries & Distilleries,30814055519
BF.B,Brown-Forman,Beverages - Wineries & Distilleries,30864964527
BFAC,Battery Future Acquisition,Shell Companies,450224990
BFAM,Bright Horizons Family Solutions,Personal Services,4484337214
BFC,Bank First,Banks - Regional,775623600
BFH,Bread Financial Holdings,Credit Services,1517494312
BFI,BurgerFi International,Restaurants,28935140
BFIN,BankFinancial,Banks - Regional,111199440
BFLY,Butterfly Network,Medical Devices,380432800
BFRG,Bullfrog AI Holdings,Health Information Services,103104934
BFRI,Biofrontera,Drug Manufacturers - Specialty & Generic,16772312
BFS,Saul Centers,REIT - Retail,1267423465
BFST,Business First Bancshares,Banks - Regional,427377306
BG,Bunge,Farm Products,14491847160
BGCP,BGC Partners,Capital Markets,1728032391
BGFV,Big 5 Sporting Goods,Specialty Retail,175245700
BGI,Birks Group,Luxury Goods,151533774
BGNE,BeiGene,Biotechnology,22222756080
BGRY,Berkshire Grey,Specialty Industrial Machinery,332119521
BGS,B&G Foods,Packaged Foods,1120153640
BGSF,"BGSF, Inc.",Staffing & Employment Services,106280515
BGXX,Bright Green,Drug Manufacturers - Specialty & Generic,187969620
BH,Biglari Holdings,Restaurants,523521783
BH.A,Biglari Holdings,Restaurants,522225139
BHAC,Crixus BH3 Acquisition Company,Shell Companies,110962396
BHAT,Fujian Blue Hat Interactive Entertainment Technology,Electronic Gaming & Multimedia,6257715
BHB,Bar Harbor Bankshares,Banks - Regional,386884710
BHC,Bausch Health Companies,Drug Manufacturers - Specialty & Generic,2823888538
BHE,Benchmark Electronics,Electronic Components,834378610
BHF,Brighthouse Financial,Insurance - Life,2982721008
BHG,Bright Health Group,Healthcare Plans,132306479
BHIL,Benson Hill,Agricultural Inputs,244101880
BHLB,Berkshire Hills Bancorp,Banks - Regional,1101509515
BHM,Bluerock Homes Trust,,72558389
BHP,BHP Group,Other Industrial Metals & Mining,223452219798
BHR,Braemar Hotels & Resorts,REIT - Hotel & Motel,331034293
BHVN,Biohaven Pharmaceutical Holding Company,Biotechnology,948153694
BIAF,bioAffinity Technologies,Diagnostics & Research,13726390
BIDU,Baidu,Internet Content & Information,52156375236
BIG,Big Lots,Discount Stores,325702014
BIGC,BigCommerce Holdings,Software - Application,655233176
BIIB,Biogen,Drug Manufacturers - General,40071747240
BILI,Bilibili,Electronic Gaming & Multimedia,8688341532
BILL,Bill.com Holdings,Software - Application,8453431560
BIMI,BIMI International Medical,Pharmaceutical Retailers,2098510
BIO,Bio-Rad Laboratories,Medical Devices,13683231249
BIOC,Biocept,Diagnostics & Research,6200874
BIOL,BIOLASE,Medical Devices,7376741
BIOR,Biora Therapeutics,Biotechnology,26268722
BIOS,BioPlus Acquisition,Shell Companies,305996379
BIOX,Bioceres Crop Solutions,Agricultural Inputs,730184523
BIP,Brookfield Infrastructure Partners L.P.,Utilities - Diversified,15567739983
BIPC,Brookfield Infrastructure,Utilities - Regulated Gas,5167948320
BIRD,Allbirds,Apparel Retail,175455540
BITE,Bite Acquisition,Shell Companies,264348400
BITF,Bitfarms,Capital Markets,224320277
BIVI,BioVie,Biotechnology,255409480
BJ,BJ's Wholesale Club Holdings,Discount Stores,10246334080
BJDX,Bluejay Diagnostics,Medical Devices,8406644
BJRI,BJ's Restaurants,Restaurants,680476032
BK,The Bank of New York Mellon Corporation,Asset Management,36105372845
BKCC,BlackRock Capital Investment,Asset Management,246744474
BKD,Brookdale Senior Living,Medical Care Facilities,548498907
BKE,The Buckle,Apparel Retail,1840137614
BKH,Black Hills,Utilities - Diversified,4148314984
BKI,Black Knight,Software - Application,9031680000
BKKT,Bakkt Holdings,Software - Infrastructure,139889600
